timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
818581153,0.126937,-0.163133,0.502128
818601598,0.126937,-0.160163,0.499004
818623600,0.126937,-0.160163,0.505252
818646014,0.123949,-0.160163,0.499004
818669077,0.123949,-0.160163,0.505252
818691600,0.126937,-0.160163,0.505252
818713074,0.126937,-0.160163,0.505252
818733894,0.129924,-0.163133,0.505252
818755594,0.126937,-0.163133,0.505252
818777067,0.126937,-0.163133,0.502128
818801162,0.126937,-0.163133,0.502128
818822727,0.126937,-0.160163,0.505252
818845700,0.123949,-0.163133,0.505252
818869063,0.126937,-0.163133,0.508375
818893065,0.123949,-0.160163,0.508375
818915597,0.123949,-0.160163,0.502128
818937061,0.123949,-0.160163,0.505252
818961155,0.123949,-0.160163,0.502128
818985090,0.123949,-0.160163,0.505252
819006669,0.123949,-0.157192,0.502128
819027645,0.120961,-0.157192,0.502128
819048751,0.123949,-0.157192,0.505252
819070495,0.120961,-0.157192,0.502128
819092654,0.120961,-0.154222,0.505252
819114668,0.117974,-0.154222,0.505252
819135786,0.120961,-0.154222,0.505252
819158759,0.120961,-0.154222,0.505252
819182501,0.120961,-0.154222,0.505252
819204656,0.117974,-0.154222,0.502128
819227157,0.120961,-0.157192,0.499004
819250124,0.120961,-0.157192,0.505252
819274124,0.120961,-0.157192,0.505252
819296656,0.123949,-0.160163,0.505252
819318657,0.123949,-0.160163,0.505252
819340767,0.123949,-0.160163,0.499004
819363594,0.123949,-0.160163,0.495881
819384661,0.129924,-0.160163,0.505252
819407594,0.126937,-0.163133,0.505252
819428713,0.126937,-0.160163,0.499004
819451594,0.129924,-0.160163,0.505252
819472653,0.129924,-0.160163,0.505252
819495608,0.126937,-0.160163,0.505252
819519227,0.126937,-0.157192,0.505252
819540726,0.126937,-0.157192,0.502128
819562887,0.126937,-0.157192,0.508375
819585601,0.129924,-0.157192,0.505252
819607594,0.123949,-0.157192,0.505252
819628722,0.123949,-0.157192,0.508375
819650897,0.123949,-0.157192,0.505252
819672774,0.126937,-0.157192,0.505252
819695214,0.123949,-0.157192,0.511499
819716722,0.123949,-0.157192,0.502128
819738915,0.120961,-0.157192,0.505252
819761597,0.120961,-0.157192,0.499004
819783595,0.120961,-0.154222,0.505252
819804728,0.120961,-0.157192,0.502128
819825594,0.120961,-0.154222,0.508375
819847602,0.120961,-0.154222,0.505252
819869601,0.123949,-0.154222,0.505252
819892743,0.123949,-0.154222,0.502128
819915600,0.126937,-0.154222,0.505252
819937595,0.126937,-0.154222,0.495881
819959286,0.126937,-0.151252,0.505252
819981652,0.129924,-0.151252,0.505252
820004086,0.126937,-0.154222,0.505252
820026527,0.126937,-0.151252,0.505252
820049594,0.126937,-0.151252,0.502128
820070663,0.129924,-0.151252,0.505252
820093597,0.129924,-0.151252,0.499004
820114654,0.129924,-0.151252,0.505252
820136759,0.129924,-0.151252,0.505252
820159721,0.129924,-0.154222,0.502128
820182654,0.132912,-0.154222,0.505252
820204717,0.132912,-0.151252,0.505252
820225597,0.135899,-0.154222,0.502128
820247696,0.138887,-0.154222,0.502128
820271758,0.138887,-0.157192,0.499004
820295754,0.138887,-0.157192,0.499004
820318660,0.138887,-0.157192,0.499004
820340716,0.144862,-0.160163,0.499004
820362659,0.144862,-0.160163,0.499004
820385594,0.14785,-0.157192,0.495881
820407594,0.144862,-0.157192,0.495881
820427595,0.14785,-0.157192,0.495881
820448738,0.14785,-0.160163,0.499004
820470656,0.14785,-0.157192,0.495881
820491595,0.14785,-0.160163,0.499004
820514655,0.14785,-0.160163,0.502128
820536716,0.14785,-0.160163,0.499004
820558660,0.14785,-0.160163,0.495881
820578656,0.14785,-0.160163,0.499004
820598671,0.14785,-0.160163,0.495881
820618668,0.14785,-0.160163,0.495881
820640548,0.150837,-0.160163,0.502128
820662455,0.14785,-0.157192,0.499004
820685294,0.14785,-0.160163,0.499004
820706656,0.14785,-0.160163,0.495881
820727565,0.14785,-0.157192,0.499004
820748887,0.144862,-0.157192,0.499004
820771549,0.144862,-0.160163,0.495881
820794666,0.144862,-0.157192,0.499004
820815597,0.14785,-0.157192,0.495881
820837594,0.144862,-0.157192,0.502128
820858664,0.14785,-0.157192,0.505252
820881170,0.144862,-0.154222,0.499004
820902690,0.14785,-0.154222,0.502128
820924992,0.144862,-0.154222,0.502128
820946681,0.14785,-0.151252,0.499004
820967597,0.144862,-0.151252,0.499004
820989906,0.141874,-0.151252,0.502128
821011594,0.144862,-0.151252,0.499004
821033935,0.144862,-0.151252,0.505252
821058014,0.144862,-0.151252,0.499004
821082013,0.141874,-0.154222,0.502128
821105947,0.14785,-0.154222,0.502128
821129941,0.141874,-0.154222,0.502128
821153951,0.144862,-0.157192,0.499004
821177932,0.144862,-0.157192,0.495881
821201170,0.141874,-0.160163,0.499004
821225151,0.141874,-0.160163,0.505252
821249080,0.144862,-0.163133,0.502128
821273065,0.144862,-0.160163,0.499004
821297070,0.144862,-0.163133,0.502128
821321153,0.144862,-0.163133,0.499004
821345074,0.144862,-0.163133,0.499004
821366442,0.144862,-0.163133,0.502128
821388772,0.144862,-0.160163,0.502128
821411594,0.141874,-0.160163,0.502128
821432713,0.141874,-0.160163,0.499004
821455594,0.138887,-0.160163,0.495881
821476711,0.138887,-0.157192,0.495881
821499594,0.138887,-0.157192,0.499004
821520655,0.135899,-0.160163,0.505252
821542664,0.135899,-0.160163,0.495881
821563170,0.135899,-0.160163,0.502128
821586133,0.132912,-0.163133,0.505252
821610134,0.132912,-0.160163,0.502128
821631595,0.135899,-0.163133,0.505252
821652658,0.135899,-0.163133,0.499004
821675169,0.132912,-0.163133,0.502128
821699193,0.132912,-0.163133,0.502128
821722154,0.132912,-0.163133,0.499004
821743584,0.132912,-0.163133,0.499004
821764654,0.135899,-0.163133,0.499004
821787588,0.132912,-0.163133,0.502128
821811194,0.135899,-0.160163,0.502128
821834104,0.132912,-0.160163,0.502128
821855534,0.132912,-0.160163,0.502128
821878502,0.132912,-0.160163,0.505252
821899615,0.132912,-0.163133,0.505252
821922921,0.132912,-0.157192,0.505252
821946913,0.129924,-0.157192,0.499004
821970929,0.132912,-0.157192,0.505252
821993594,0.132912,-0.157192,0.502128
822015215,0.129924,-0.157192,0.502128
822036723,0.126937,-0.157192,0.502128
822059141,0.129924,-0.157192,0.505252
822080737,0.126937,-0.157192,0.505252
822103209,0.129924,-0.157192,0.502128
822124721,0.129924,-0.157192,0.505252
822146905,0.126937,-0.154222,0.502128
822169594,0.129924,-0.157192,0.499004
