timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
796245926,232.532,37.64,98563.0,1.17109
796257533,232.619,37.64,98562.0,1.17108
796278962,233.129,37.64,98556.0,1.17101
796289947,233.214,37.64,98555.0,1.171
796299942,233.129,37.64,98556.0,1.17101
796321560,232.96,37.64,98558.0,1.17103
796332460,232.788,37.64,98560.0,1.17106
796342056,233.214,37.64,98555.0,1.171
796365671,233.811,37.64,98548.0,1.17091
796377990,233.042,37.64,98557.0,1.17102
796387960,233.298,37.64,98554.0,1.17098
796411187,232.96,37.64,98558.0,1.17103
796422687,233.042,37.64,98557.0,1.17102
796433904,233.214,37.64,98555.0,1.171
796457381,232.022,37.64,98569.0,1.17116
796468460,232.532,37.64,98563.0,1.17109
796478962,232.191,37.64,98567.0,1.17114
796499942,232.873,37.63,98559.0,1.17104
796510686,232.96,37.63,98558.0,1.17103
796521547,233.042,37.63,98557.0,1.17102
796542078,232.788,37.64,98560.0,1.17106
796553933,233.639,37.64,98550.0,1.17094
796566142,233.555,37.64,98551.0,1.17095
796590343,232.447,37.63,98564.0,1.1711
796602036,232.363,37.63,98565.0,1.17112
796611951,232.873,37.63,98559.0,1.17104
796633900,232.704,37.64,98561.0,1.17107
796646814,232.532,37.64,98563.0,1.17109
796657369,232.447,37.64,98564.0,1.1711
796678961,233.214,37.63,98555.0,1.171
796689940,232.619,37.63,98562.0,1.17108
796699943,232.447,37.63,98564.0,1.1711
796721583,232.191,37.64,98567.0,1.17114
796732521,232.96,37.64,98558.0,1.17103
796742970,232.363,37.64,98565.0,1.17112
796763943,233.042,37.64,98557.0,1.17102
796774832,232.278,37.64,98566.0,1.17113
796785525,233.214,37.64,98555.0,1.171
796806981,233.298,37.63,98554.0,1.17098
796819162,234.152,37.63,98544.0,1.17087
796831375,233.724,37.63,98549.0,1.17093
796854764,232.619,37.64,98562.0,1.17108
796867182,233.129,37.64,98556.0,1.17101
796878771,232.96,37.64,98558.0,1.17103
796903158,232.447,37.63,98564.0,1.1711
796914186,231.85,37.63,98571.0,1.17119
796924960,232.107,37.63,98568.0,1.17115
796946366,232.022,37.63,98569.0,1.17116
796956655,232.022,37.63,98569.0,1.17116
796967942,232.022,37.63,98569.0,1.17116
796991209,233.214,37.63,98555.0,1.171
797002120,233.042,37.63,98557.0,1.17102
797011945,233.47,37.63,98552.0,1.17096
797033093,232.447,37.63,98564.0,1.1711
797044659,232.022,37.63,98569.0,1.17116
797055946,232.704,37.63,98561.0,1.17107
797077100,231.766,37.63,98572.0,1.1712
797087552,232.278,37.63,98566.0,1.17113
797098521,232.619,37.63,98562.0,1.17108
797118855,232.873,37.64,98559.0,1.17104
797131308,232.447,37.64,98564.0,1.1711
797142762,232.532,37.64,98563.0,1.17109
797164960,231.766,37.63,98572.0,1.1712
797175652,232.278,37.63,98566.0,1.17113
797186860,231.512,37.63,98575.0,1.17123
797211184,232.022,37.63,98569.0,1.17116
797222740,232.704,37.63,98561.0,1.17107
797232973,232.447,37.63,98564.0,1.1711
797255144,232.278,37.63,98566.0,1.17113
797268047,232.191,37.63,98567.0,1.17114
797279178,232.107,37.63,98568.0,1.17115
797301900,231.938,37.63,98570.0,1.17117
797313604,232.363,37.63,98565.0,1.17112
797325084,232.278,37.63,98566.0,1.17113
797347345,231.512,37.63,98575.0,1.17123
797357593,231.938,37.63,98570.0,1.17117
797369079,232.704,37.63,98561.0,1.17107
