timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
2436239809,-0.029653,-0.0278372,-0.0490361,0.0,0.999488,-0.0151612,-0.013549,-0.0247168,0.518072,-1.0,1,0,0,0,0,0,0
2436338747,-0.0295797,-0.0277986,-0.0490377,0.0,0.999488,-0.0151241,-0.0135306,-0.0247168,0.517823,-1.0,1,0,0,0,0,0,0
2436439996,-0.0295896,-0.028056,-0.0490337,0.0,0.999487,-0.0151322,-0.0136591,-0.0247168,0.500354,-1.0,1,0,0,0,0,0,0
2436543074,-0.0295892,-0.0272484,-0.0490457,0.0,0.999492,-0.0151223,-0.0132555,-0.0247169,0.480545,-1.0,1,0,0,0,0,0,0
2436642733,-0.0295898,-0.0284102,-0.0490285,0.0,0.999484,-0.0151366,-0.0138362,-0.0247167,0.480465,-1.0,1,0,0,0,0,0,0
2436746886,-0.0295898,-0.0283743,-0.049029,0.0,0.999484,-0.0151361,-0.0138183,-0.0247167,0.447198,-1.0,1,0,0,0,0,0,0
2436847396,-0.0295898,-0.0283735,-0.049029,0.0,0.999484,-0.0151361,-0.0138178,-0.0247167,0.447095,-1.0,1,0,0,0,0,0,0
2436946897,-0.0314377,-0.026767,-0.049028,0.0,0.999481,-0.0160401,-0.0129922,-0.0247166,0.446989,-1.0,1,0,0,0,0,0,0
2437050751,-0.032563,-0.0192007,-0.0491362,0.0,0.999516,-0.0165109,-0.0091961,-0.0247175,0.446988,-1.0,1,0,0,0,0,0,0
2437151069,-0.0341313,0.000260071,-0.0494533,0.0,0.999549,-0.0170564,0.00055189,-0.0247183,0.44962,-1.0,1,0,0,0,0,0,0
2437250938,-0.0340177,1.21544e-05,-0.0494491,0.0,0.99955,-0.0170027,0.000426547,-0.0247183,0.451844,-1.0,1,0,0,0,0,0,0
2437354785,-0.0355276,0.00742868,-0.0495808,0.0,0.99953,-0.0176652,0.0041529,-0.0247178,0.452057,-1.0,1,0,0,0,0,0,0
2437455003,-0.0355017,0.0149888,-0.0497149,0.0,0.999509,-0.0175577,0.00793201,-0.0247173,0.453003,-1.0,1,0,0,0,0,0,0
2437559236,-0.0348877,0.00665947,-0.049565,0.0,0.999537,-0.017355,0.00376043,-0.024718,0.453013,-1.0,1,0,0,0,0,0,0
2437658792,-0.0310197,-1.12884e-05,-0.0494487,0.0,0.999574,-0.0155046,0.000377775,-0.0247189,0.458947,-1.0,1,0,0,0,0,0,0
2437759170,-0.0310691,-4.70117e-06,-0.0494488,0.0,0.999574,-0.0155293,0.000381679,-0.0247189,0.485613,-1.0,1,0,0,0,0,0,0
2437863016,-0.0310611,-5.57766e-08,-0.0494488,0.0,0.999574,-0.0155252,0.000383901,-0.0247189,0.487959,-1.0,1,0,0,0,0,0,0
2437962741,-0.0300314,-2.26819e-10,-0.0494488,0.0,0.999582,-0.0150106,0.000371203,-0.0247191,0.487952,-1.0,1,0,0,0,0,0,0
2438063377,-0.0311358,-0.00103942,-0.0494327,0.0,0.999573,-0.0155754,-0.000134763,-0.0247189,0.487952,-1.0,1,0,0,0,0,0,0
2438167056,-0.0310117,-0.0030894,-0.0494009,0.0,0.999573,-0.0155386,-0.0011611,-0.0247189,0.492418,-1.0,1,0,0,0,0,0,0
2438267014,-0.0310527,-0.00489966,-0.0493728,0.0,0.999571,-0.0155814,-0.00206555,-0.0247189,0.518878,-1.0,1,0,0,0,0,0,0
2438370771,-0.0310631,-0.0148038,-0.0492189,0.0,0.999546,-0.0157079,-0.00701655,-0.0247182,0.518067,-1.0,1,0,0,0,0,0,0
2438471118,-0.0310639,-0.0167873,-0.0491881,0.0,0.999539,-0.0157324,-0.00800809,-0.0247181,0.518072,-1.0,1,0,0,0,0,0,0
2438570738,-0.0310686,-0.0272195,-0.049026,0.0,0.999481,-0.0158611,-0.0132229,-0.0247166,0.518911,-1.0,1,0,0,0,0,0,0
2438671003,-0.0310702,-0.0298762,-0.0489846,0.0,0.999462,-0.0158939,-0.0145509,-0.0247162,0.525602,-1.0,1,0,0,0,0,0,0
2438776009,-0.0310708,-0.0309075,-0.0489686,0.0,0.999454,-0.0159066,-0.0150664,-0.024716,0.528375,-1.0,1,0,0,0,0,0,0
2438875548,-0.0320661,-0.0313495,-0.0489461,0.0,0.999443,-0.0164091,-0.0152751,-0.0247157,0.537397,-1.0,1,0,0,0,0,0,0
2438979561,-0.0325507,-0.0313592,-0.0489384,0.0,0.999439,-0.0166513,-0.0152741,-0.0247156,0.538195,-1.0,1,0,0,0,0,0,0
2439080007,-0.0325509,-0.0313592,-0.0489384,0.0,0.999439,-0.0166514,-0.015274,-0.0247156,0.546322,-1.0,1,0,0,0,0,0,0
2439179792,-0.0328564,-0.0313591,-0.0489336,0.0,0.999437,-0.016804,-0.0152703,-0.0247155,0.560029,-1.0,1,0,0,0,0,0,0
2439283555,-0.0340191,-0.0313587,-0.0489154,0.0,0.999427,-0.0173849,-0.0152558,-0.0247153,0.561337,-1.0,1,0,0,0,0,0,0
2439384148,-0.0355744,-0.0313581,-0.048891,0.0,0.999413,-0.0181619,-0.0152366,-0.024715,0.564421,-1.0,1,0,0,0,0,0,0
2439483555,-0.0355085,-0.0313581,-0.048892,0.0,0.999414,-0.018129,-0.0152374,-0.024715,0.565046,-1.0,1,0,0,0,0,0,0
2439587745,-0.0365449,-0.0377197,-0.0487595,0.0,0.99935,-0.0187224,-0.0184046,-0.0247134,0.562677,-1.0,1,0,0,0,0,0,0
2439687812,-0.0413069,-0.0792101,-0.0478118,0.0,0.998698,-0.0215761,-0.0390817,-0.0246973,0.55887,-1.0,1,0,0,0,0,0,0
2439792031,-0.0369239,-0.113417,-0.0473525,0.0,0.997918,-0.0197676,-0.0562163,-0.024678,0.557806,-1.0,1,0,0,0,0,0,0
