timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
435068230,435068230,393791220,23,3,1,143,129,24,20,95,51,68
435993138,435993138,393791220,23,3,1,143,129,24,20,95,51,68
437050126,437050126,393791220,23,3,1,143,129,24,20,95,51,68
437968760,437968760,393791220,23,3,1,143,129,24,20,95,51,68
438978183,438978183,393791220,23,3,1,143,129,24,20,95,51,68
440045379,440045379,393791220,23,3,1,143,129,24,20,95,51,68
440973507,440973507,393791220,23,3,1,143,129,24,20,95,51,68
441971060,441971060,393791220,23,3,1,143,129,24,20,95,51,68
443073447,443073447,393791220,23,3,1,143,129,24,20,95,51,68
444039089,444039089,393791220,23,3,1,143,129,24,20,95,51,68
444960047,444960047,393791220,23,3,1,143,129,24,20,95,51,68
446021832,446021832,393791220,23,3,1,143,129,24,20,95,51,68
446956139,446956139,393791220,23,3,1,143,129,24,20,95,51,68
447943148,447943148,393791220,23,3,1,143,129,24,20,95,51,68
449031177,449031177,393791220,23,3,1,143,129,24,20,95,51,68
450018101,450018101,393791220,23,3,1,143,129,24,20,95,51,68
451167019,451167019,393791220,23,3,1,143,129,24,20,95,51,68
452014407,452014407,393791220,23,3,1,143,129,24,20,95,51,68
453005033,453005033,393791220,23,3,1,143,129,24,20,95,51,68
454084018,454084018,393791220,23,3,1,143,129,24,20,95,51,68
454993015,454993015,393791220,23,3,1,143,129,24,20,95,51,68
455995050,455995050,393791220,23,3,1,143,129,24,20,95,51,68
457035087,457035087,393791220,23,3,1,143,129,24,20,95,51,68
458022152,458022152,393791220,23,3,1,143,129,24,20,95,51,68
458981023,458981023,393791220,23,3,1,143,129,24,20,95,51,68
460129039,460129039,393791220,23,3,1,143,129,24,20,95,51,68
460971884,460971884,393791220,23,3,1,143,129,24,20,95,51,68
461970069,461970069,393791220,23,3,1,143,129,24,20,95,51,68
463041056,463041056,393791220,23,3,1,143,129,24,20,95,51,68
464036803,464036803,393791220,23,3,1,143,129,24,20,95,51,68
464957054,464957054,393791220,23,3,1,143,129,24,20,95,51,68
466027188,466027188,393791220,23,3,1,143,129,24,20,95,51,68
466959082,466959082,393791220,23,3,1,143,129,24,20,95,51,68
467952055,467952055,393791220,23,3,1,143,129,24,20,95,51,68
469086129,469086129,393791220,23,3,1,143,129,24,20,95,51,68
470015094,470015094,393791220,23,3,1,143,129,24,20,95,51,68
471106663,471106663,393791220,23,3,1,143,129,24,20,95,51,68
472079232,472079232,393791220,23,3,1,143,129,24,20,95,51,68
472970442,472970442,393791220,23,3,1,143,129,24,20,95,51,68
474104152,474104152,393791220,23,3,1,143,129,24,20,95,51,68
475005017,475005017,393791220,23,3,1,143,129,24,20,95,51,68
475980151,475980151,393791220,23,3,1,143,129,24,20,95,51,68
477041180,477041180,393791220,23,3,1,143,129,24,20,95,51,68
478017029,478017029,393791220,23,3,1,143,129,24,20,95,51,68
478979862,478979862,393791220,23,3,1,143,129,24,20,95,51,68
480069141,480069141,393791220,23,3,1,143,129,24,20,95,51,68
481046091,481046091,393791220,23,3,1,143,129,24,20,95,51,68
481966062,481966062,393791220,23,3,1,143,129,24,20,95,51,68
483033082,483033082,393791220,23,3,1,143,129,24,20,95,51,68
483964433,483964433,393791220,23,3,1,143,129,24,20,95,51,68
484963071,484963071,393791220,23,3,1,143,129,24,20,95,51,68
486090168,486090168,393791220,23,3,1,143,129,24,20,95,51,68
487021112,487021112,393791220,23,3,1,143,129,24,20,95,51,68
487949424,487949424,393791220,23,3,1,143,129,24,20,95,51,68
488972974,488972974,393791220,23,3,1,143,129,24,20,95,51,68
489965871,489965871,393791220,23,3,1,143,129,24,20,95,51,68
491080016,491080016,393791220,23,3,1,143,129,24,20,95,51,68
492028217,492028217,393791220,23,3,1,143,129,24,20,95,51,68
492995362,492995362,393791220,23,3,1,143,129,24,20,95,51,68
494063328,494063328,393791220,23,3,1,143,129,24,20,95,51,68
494986160,494986160,393791220,23,3,1,143,129,24,20,95,51,68
495983022,495983022,393791220,23,3,1,143,129,24,20,95,51,68
497134441,497134441,393791220,23,3,1,143,129,24,20,95,51,68
497977546,497977546,393791220,23,3,1,143,129,24,20,95,51,68
498973048,498973048,393791220,23,3,1,143,129,24,20,95,51,68
500051001,500051001,393791220,23,3,1,143,129,24,20,95,51,68
500954925,500954925,393791220,23,3,1,143,129,24,20,95,51,68
501962110,501962110,393791220,23,3,1,143,129,24,20,95,51,68
503112531,503112531,393791220,23,3,1,143,129,24,20,95,51,68
504029040,504029040,393791220,23,3,1,143,129,24,20,95,51,68
504951069,504951069,393791220,23,3,1,143,129,24,20,95,51,68
506019015,506019015,393791220,23,3,1,143,129,24,20,95,51,68
507017039,507017039,393791220,23,3,1,143,129,24,20,95,51,68
508166195,508166195,393791220,23,3,1,143,129,24,20,95,51,68
509003036,509003036,393791220,23,3,1,143,129,24,20,95,51,68
510004042,510004042,393791220,23,3,1,143,129,24,20,95,51,68
