timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1768655437,40.8101721884,-77.8706508541,344.806,-0.0,-1.83534,-0.326621,-0.333488,-0.63423,4.19663,5.04861,0.0,2,0,0,0
1768855207,40.8101723548,-77.870651186,344.851,-0.0,-1.66688,-0.2232,-0.298581,-0.635107,4.19778,5.05308,0.0,2,0,0,0
1769059237,40.8101725886,-77.8706507283,344.908,-0.0,-1.46171,-0.081635,-0.285137,-0.636532,4.19894,5.05785,0.0,2,0,0,0
1769263402,40.8101729299,-77.8706494919,344.91,-0.0,-1.2386,0.0998418,-0.256023,-0.637541,4.20045,5.0509,0.0,2,0,0,0
1769464779,40.8101733266,-77.870648266,344.919,-0.0,-1.02272,0.278426,-0.212503,-0.64009,4.20215,5.05556,0.0,2,0,0,0
1769668771,40.810173638,-77.870647985,344.938,-0.0,-0.795976,0.393033,-0.175964,-0.644692,4.17583,5.04842,0.0,2,0,0,0
1769872797,40.810173966,-77.8706482258,344.914,-0.0,-0.589172,0.475977,-0.131044,-0.64583,4.17783,5.05306,0.0,2,0,0,0
1770076814,40.8101742852,-77.8706487009,344.929,-0.0,-0.38986,0.521206,-0.0980705,-0.647036,4.20662,5.05809,0.0,2,0,0,0
1770277061,40.8101751513,-77.8706488619,344.896,-0.0,-0.178933,0.583927,-0.0595797,-0.649276,4.17917,5.05071,0.0,2,0,0,0
1770480755,40.8101764296,-77.8706482778,344.879,-0.0,0.0482699,0.63293,-0.0233525,-0.651665,4.1785,5.05542,0.0,2,0,0,0
1770684758,40.8101775451,-77.870646613,344.875,-0.0,0.247695,0.684015,0.00584017,-0.651715,4.17649,5.04848,0.0,2,0,0,0
1770888755,40.8101777474,-77.8706442099,344.853,-0.0,0.39452,0.735082,0.0402158,-0.651061,4.17737,5.05309,0.0,2,0,0,0
1771088784,40.8101779302,-77.8706424143,344.853,-0.0,0.529852,0.800578,0.0673121,-0.64891,4.17773,5.05783,0.0,2,0,0,0
1771292821,40.810178776,-77.8706411112,344.846,-0.0,0.610995,0.861447,0.0733591,-0.644675,4.17827,5.05069,0.0,2,0,0,0
1771496828,40.8101797812,-77.8706403081,344.846,-0.0,0.650099,0.929848,0.0643588,-0.643397,4.17961,5.05547,0.0,2,0,0,0
1771696813,40.8101807863,-77.8706392987,344.839,-0.0,0.665606,1.00078,0.0402291,-0.641957,4.1789,5.04856,0.0,2,0,0,0
1771897019,40.8101819936,-77.8706380157,344.81,-0.0,0.661624,1.06571,0.00576261,-0.638738,4.17827,5.05297,0.0,2,0,0,0
1772096826,40.8101830052,-77.8706365552,344.823,-0.0,0.638028,1.13832,-0.0238626,-0.638863,4.17805,5.05768,0.0,2,0,0,0
1772300836,40.8101838772,-77.8706353311,344.835,-0.0,0.606084,1.18993,-0.0428246,-0.637307,4.17751,5.05058,0.0,2,0,0,0
1772504776,40.8101844007,-77.8706338739,344.868,-0.0,0.585586,1.27054,-0.0619193,-0.635314,4.17853,5.05535,0.0,2,0,0,0
1772708794,40.8101847067,-77.870632214,344.896,-0.0,0.554614,1.33059,-0.0855013,-0.632949,4.17902,5.04844,0.0,2,0,0,0
1772908746,40.8101847358,-77.8706308295,344.876,-0.0,0.520429,1.39833,-0.095354,-0.631616,4.17962,5.05289,0.0,2,0,0,0
1773113048,40.8101848247,-77.8706296434,344.899,-0.0,0.499673,1.43229,-0.104364,-0.63051,4.17991,5.05779,0.0,2,0,0,0
1773316959,40.810185413,-77.8706277722,344.874,-0.0,0.479432,1.4583,-0.0962443,-0.628485,4.1783,5.05064,0.0,2,0,0,0
1773517149,40.8101863637,-77.8706247274,344.879,-0.0,0.462046,1.50096,-0.114248,-0.627498,4.17502,5.05509,0.0,2,0,0,0
1773717110,40.8101873978,-77.8706206265,344.899,-0.0,0.415576,1.51311,-0.123871,-0.626955,4.17243,5.04818,0.0,2,0,0,0
1773916813,40.8101885045,-77.8706163486,344.881,-0.0,0.366309,1.47386,-0.135942,-0.626505,4.17052,5.05252,0.0,2,0,0,0
1774120796,40.8101897275,-77.8706130459,344.913,-0.0,0.28561,1.33894,-0.15597,-0.628686,4.16895,5.05729,0.0,2,0,0,0
1774324753,40.8101905867,-77.8706099981,344.914,-0.0,0.190624,1.19959,-0.146474,-0.630475,4.1666,5.05018,0.0,2,0,0,0
1774529020,40.8101910331,-77.8706074074,344.931,-0.0,0.0974401,1.0689,-0.159752,-0.63317,4.16693,5.05486,0.0,2,0,0,0
1774729095,40.8101915556,-77.8706050411,344.97,-0.0,0.00428693,0.940674,-0.182562,-0.634167,4.16516,5.04801,0.0,2,0,0,0
1774932750,40.8101920735,-77.8706027072,345.005,-0.0,-0.0717092,0.827805,-0.197049,-0.63283,4.16576,5.05239,0.0,2,0,0,0
1775137046,40.8101922672,-77.8706006961,345.062,-0.0,-0.179312,0.704293,-0.209778,-0.630227,4.16599,5.0572,0.0,2,0,0,0
1775337100,40.8101921984,-77.8705991279,345.025,-0.0,-0.27252,0.595125,-0.185286,-0.626555,4.16825,5.05028,0.0,2,0,0,0
1775537052,40.8101921349,-77.8705984013,345.009,-0.0,-0.373105,0.477765,-0.167919,-0.623566,4.16986,5.05485,0.0,2,0,0,0
1775741005,40.8101922625,-77.870598101,345.028,-0.0,-0.453222,0.337384,-0.160932,-0.620093,4.17011,5.04802,0.0,2,0,0,0
1775944757,40.810192383,-77.8705980061,345.038,-0.0,-0.549546,0.184765,-0.153058,-0.618423,4.17178,5.0526,0.0,2,0,0,0
1776148754,40.810192269,-77.8705980759,345.065,-0.0,-0.640594,0.0471934,-0.139746,-0.61795,4.17193,5.05728,0.0,2,0,0,0
1776348764,40.810192201,-77.8705982529,345.083,-0.0,-0.730405,-0.0892423,-0.119874,-0.619168,4.17176,5.05025,0.0,2,0,0,0
1776548786,40.8101920925,-77.870598468,345.107,-0.0,-0.800993,-0.20561,-0.0939473,-0.621147,4.17033,5.05474,0.0,2,0,0,0
1776752794,40.8101920434,-77.8705988719,345.12,-0.0,-0.857088,-0.325121,-0.0664842,-0.623562,4.17057,5.04812,0.0,2,0,0,0
1776957028,40.8101919898,-77.8705996179,345.085,-0.0,-0.899773,-0.436897,-0.0352953,-0.625977,4.17016,5.05252,0.0,2,0,0,0
1777156819,40.8101919066,-77.870600534,345.084,-0.0,-0.938847,-0.530313,-0.0152803,-0.627757,4.16921,5.05718,0.0,2,0,0,0
1777356815,40.810191505,-77.8706015634,345.078,-0.0,-0.976364,-0.612689,-0.138044,-0.629779,4.16692,5.05011,0.0,2,0,0,0
1777560758,40.8101909638,-77.870602728,345.116,-0.0,-1.01154,-0.672455,-0.352371,-0.632874,4.16646,5.0548,0.0,2,0,0,0
1777764759,40.8101905496,-77.8706036842,345.187,-0.0,-0.994189,-0.703242,-0.53479,-0.635358,4.16534,5.04799,0.0,2,0,0,0
1777968763,40.8101906848,-77.8706046436,345.224,-0.0,-0.920439,-0.731845,-0.542104,-0.636964,4.16452,5.05253,0.0,2,0,0,0
1778168791,40.8101908784,-77.8706058227,345.292,-0.0,-0.841766,-0.756564,-0.49209,-0.638991,4.16351,5.0572,0.0,2,0,0,0
1778372794,40.8101908261,-77.870606807,345.314,-0.0,-0.794898,-0.752216,-0.441666,-0.64192,4.16253,5.05019,0.0,2,0,0,0
1778576858,40.8101905351,-77.8706072742,345.348,-0.0,-0.765511,-0.703257,-0.399054,-0.644405,4.16208,5.05489,0.0,2,0,0,0
1778780777,40.8101901024,-77.870607408,345.393,-0.0,-0.754602,-0.638816,-0.3721,-0.646526,4.1618,5.04809,0.0,2,0,0,0
1778980771,40.8101903481,-77.870607163,345.389,-0.0,-0.713095,-0.5579,-0.339006,-0.647924,4.16047,5.05246,0.0,2,0,0,0
1779180749,40.8101917014,-77.8706062167,345.435,-0.0,-0.638748,-0.455227,-0.326434,-0.648298,4.15909,5.05711,0.0,2,0,0,0
1779384765,40.8101934261,-77.870605033,345.456,-0.0,-0.537656,-0.323611,-0.315279,-0.647613,4.16002,5.05031,0.0,2,0,0,0
1779588748,40.8101946897,-77.8706043985,345.485,-0.0,-0.45102,-0.195638,-0.279742,-0.645893,4.159,5.05484,0.0,2,0,0,0
1779792823,40.8101956595,-77.8706045641,345.494,-0.0,-0.375679,-0.0990967,-0.232303,-0.643793,4.15754,5.04816,0.0,2,0,0,0
1779992860,40.8101962458,-77.8706049858,345.43,-0.0,-0.306066,-0.0102378,-0.162453,-0.641117,4.15672,5.05256,0.0,2,0,0,0
1780197054,40.8101965029,-77.8706052471,345.41,-0.0,-0.237895,0.110737,-0.107902,-0.637563,4.15732,5.05731,0.0,2,0,0,0
1780400855,40.8101969868,-77.8706052387,345.386,-0.0,-0.132014,0.253422,-0.0559764,-0.633247,4.15877,5.05048,0.0,2,0,0,0
1780604804,40.8101975277,-77.870605422,345.373,-0.0,0.00729922,0.415875,-0.0112044,-0.629391,4.15715,5.05501,0.0,2,0,0,0
1780804756,40.8101977809,-77.8706058063,345.372,-0.0,0.117929,0.550904,0.0109914,-0.625973,4.15631,5.04817,0.0,2,0,0,0
1781008760,40.8101975051,-77.8706062517,345.361,-0.0,0.224244,0.665788,0.0452456,-0.624716,4.1566,5.05277,0.0,2,0,0,0
1781213046,40.8101971109,-77.8706064123,345.362,-0.0,0.340798,0.767585,0.05454,-0.627419,4.15612,5.05749,0.0,2,0,0,0
1781417346,40.8101970953,-77.8706062012,345.28,-0.0,0.485147,0.84879,0.0626952,-0.629971,4.15722,5.05064,0.0,2,0,0,0
1781617058,40.8101975169,-77.8706054841,345.219,-0.0,0.644931,0.918689,0.0680709,-0.631863,4.15601,5.0552,0.0,2,0,0,0
1781820749,40.8101984979,-77.8706044926,345.182,-0.0,0.803457,1.00652,0.0470539,-0.634766,4.15561,5.04833,0.0,2,0,0,0
1782024818,40.8102004454,-77.8706029707,345.131,-0.0,0.972687,1.10937,-0.111157,-0.638449,4.15458,5.0529,0.0,2,0,0,0
1782229086,40.8102026588,-77.8706013375,345.163,-0.0,1.12273,1.19588,-0.283247,-0.643771,4.15396,5.05762,0.0,2,0,0,0
1782428787,40.8102043841,-77.8705999908,345.185,-0.0,1.20556,1.25202,-0.268965,-0.645808,4.15473,5.05058,0.0,2,0,0,0
1782632867,40.8102054869,-77.8705989987,345.218,-0.0,1.24864,1.3031,-0.227623,-0.645605,4.15521,5.05535,0.0,2,0,0,0
1782837115,40.8102063126,-77.8705982963,345.249,-0.0,1.28154,1.34697,-0.227226,-0.645514,4.15462,5.04847,0.0,2,0,0,0
