timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
129991265,0.0074259,0.0826124,0.0316606,0.988123,-0.00294245,0.0042393,0.15358,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130023263,0.0130999,0.0642736,0.0433822,0.988069,-0.00297677,0.00466517,0.153913,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130051267,-0.0205845,0.0279921,0.0686821,0.988053,-0.00299595,0.00440491,0.154022,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130084066,-0.0842794,0.0295011,0.0585133,0.988045,-0.00282748,0.00375786,0.154096,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130116073,-0.0455535,-0.0811996,-0.0832874,0.988046,-0.00323212,0.00262121,0.154105,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130148087,0.0680542,-0.0907076,-0.135007,0.988061,-0.00326914,0.00190145,0.15402,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130180873,-0.0171201,0.0540727,0.063805,0.987995,-0.00283328,0.00234709,0.154445,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130208873,0.0796006,0.0907292,0.0319873,0.987946,-0.00295122,0.00276605,0.154745,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130240874,-0.0220028,0.0434318,0.0837891,0.987903,-0.00312286,0.00338495,0.155007,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130273671,-0.112798,-0.0173001,0.00287421,0.98786,-0.00291663,0.00417917,0.155264,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130305670,0.0157023,0.0340319,-0.0362858,0.987856,-0.00311856,0.00471778,0.155273,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130337671,0.0494807,-0.000170617,-0.0104529,0.987844,-0.00320417,0.0047221,0.155344,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130366477,-0.00670107,-0.156563,-0.0309659,0.987845,-0.00284187,0.00398559,0.155367,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130398472,0.0817874,-0.0297525,0.113209,0.987804,-0.00314573,0.00316283,0.155638,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130430473,-0.0422291,0.0348743,0.0868444,0.987745,-0.00360661,0.00262652,0.156011,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130463303,-0.0122175,-0.0370016,-0.10888,0.987744,-0.00309566,0.00232921,0.156035,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130495270,0.0592091,0.054021,0.00203356,0.987731,-0.00280143,0.0029341,0.156115,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130527271,-0.0161503,-0.00264315,-0.0173927,0.987679,-0.00342369,0.00371591,0.156415,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130556073,0.0538344,0.0547817,-0.0480736,0.987653,-0.00294735,0.00456001,0.156565,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130588076,0.0459048,0.120896,0.0476928,0.987615,-0.00253433,0.00525138,0.156787,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130620078,-0.150638,-0.0686305,-0.0111416,0.987606,-0.00317887,0.00509536,0.15684,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130652878,0.0184414,-0.135226,-0.0900255,0.987653,-0.00301174,0.00451822,0.156565,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130684877,0.0674063,0.0108001,0.048328,0.987637,-0.00286943,0.00410526,0.156678,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130712873,-0.086645,-0.00641581,0.0612264,0.987634,-0.00336156,0.00377574,0.156693,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130745678,-0.0377406,-0.0340025,0.136565,0.987574,-0.00325191,0.00355486,0.157082,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130777663,0.0207401,-0.0567559,0.0237375,0.987545,-0.00308621,0.00292889,0.15728,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130809664,-0.0397752,0.0261298,-0.0461488,0.98757,-0.00332922,0.00242226,0.157125,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130842475,0.0120071,0.103021,0.0643183,0.987514,-0.00294846,0.00339167,0.157469,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130870463,0.114051,0.120659,0.0840971,0.987468,-0.00262269,0.0047376,0.157725,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130902472,-0.0781945,0.0734728,0.0877841,0.987388,-0.00262232,0.00574122,0.158194,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130935263,-0.02588,-0.0386916,-0.12466,0.987368,-0.00227503,0.00623773,0.158305,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130967305,0.166237,-0.132627,-0.014539,0.98738,-0.00141361,0.00613678,0.158243,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
130999270,0.0790757,0.0780937,0.10768,0.987333,-0.00106156,0.00597036,0.158548,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131028083,-0.0949797,0.02912,-0.0116949,0.987338,-0.00108868,0.0058444,0.158519,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131060071,0.0483896,0.00249221,0.0230651,0.987295,-0.000947663,0.00636021,0.158766,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131092070,0.0496747,-3.56261e-05,-0.0253558,0.987295,-0.000979471,0.00687886,0.158748,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131124871,-0.0390104,0.0120336,0.0799365,0.987256,-0.000916138,0.00661995,0.158999,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131156873,-0.104527,-0.106707,-0.0199517,0.987255,-0.000748996,0.00568427,0.159042,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131188873,0.0659227,-0.0874474,-0.0237139,0.987284,-0.000262548,0.0047902,0.158893,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131221671,0.103363,-0.0024033,0.0393017,0.987242,-0.000177054,0.0044875,0.159165,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131253672,-0.087082,0.0908939,0.139897,0.987139,-0.000615067,0.00482551,0.159788,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131285672,-0.132156,0.0144747,-0.0720643,0.987104,-0.000655755,0.00542542,0.15999,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131318487,0.0873347,-0.0398151,-0.0398299,0.987095,-0.000238611,0.00597174,0.160021,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131346470,-0.00757865,0.0341775,0.0753247,0.987043,-0.000557945,0.00643823,0.160327,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131378476,-0.0720486,-0.089458,0.0325651,0.986997,-0.000503531,0.00618794,0.16062,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131411271,0.00834473,-0.101168,-0.0246823,0.986965,-3.67615e-05,0.00539568,0.160843,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131443257,0.0688746,-0.0394146,0.0230128,0.986955,0.000152362,0.0046668,0.160929,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131475264,-0.0522753,0.0927786,0.159667,0.986886,-0.000278587,0.00449586,0.161357,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131504096,0.015335,0.0492567,0.0973412,0.986824,-0.000356735,0.00496639,0.161721,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131536077,0.017212,-0.0357725,-0.0545222,0.986856,-0.000529203,0.00499542,0.161527,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131568064,0.00860972,0.0316748,0.00165159,0.986867,-0.000273186,0.00498451,0.161461,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131600864,0.000756832,0.0446697,0.0273117,0.986819,0.000117466,0.00547269,0.161737,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131632872,-0.0201267,-0.0226859,0.0320476,0.986744,0.000392063,0.00609659,0.162171,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131664872,-0.00410135,-0.0389612,-0.0388237,0.986762,-9.03057e-05,0.00624647,0.162054,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131693665,0.0612586,-0.0864947,-0.0426361,0.986775,-5.81482e-05,0.00578346,0.161995,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131725677,-0.00643436,0.00667129,0.0566267,0.986757,0.000559578,0.00539105,0.162113,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131757671,0.0127013,-0.0501045,0.0415732,0.986746,0.000627535,0.00486808,0.162195,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131790471,0.063023,0.0234574,-0.0153973,0.986747,0.000577636,0.00472983,0.162199,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131822471,-0.0136636,0.0788222,-0.00394195,0.98672,0.000535054,0.0050566,0.16235,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131850471,0.0236754,0.0427292,0.140024,0.986672,0.000733708,0.00573785,0.162618,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131883270,-0.0135632,-0.0170755,-0.0748709,0.98667,0.000408923,0.00617142,0.162615,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131915271,-0.000976947,-0.0114801,-0.056908,0.986716,0.000368546,0.00597054,0.162348,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131947270,-0.0139707,0.0263886,0.0382718,0.986671,0.000599791,0.00605496,0.162615,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
131980089,-0.00039638,-0.0215854,0.0176274,0.986611,0.000571152,0.00590007,0.162983,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
132008102,-0.0523671,-0.0554272,-0.0557928,0.986603,0.000494383,0.00510932,0.16306,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
132040074,-0.0360379,-0.069279,-0.0114734,0.986614,0.000359812,0.00371046,0.163031,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
132072872,0.0769024,0.023557,0.0801849,0.986543,0.000600364,0.00336518,0.163469,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
132104872,0.0155647,0.00438151,0.00310762,0.98649,0.000341907,0.003972,0.163773,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
132136879,0.00577347,0.0423485,-0.00526752,0.986518,3.95703e-05,0.00469723,0.163588,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
132165673,0.0267091,0.0448118,0.0913939,0.986451,0.000371522,0.00518767,0.163972,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
132197687,0.0165678,-0.0448027,0.115875,0.986373,0.000590259,0.0053755,0.164436,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
132229678,0.00990252,0.00030033,-0.047517,0.986337,0.000444231,0.00535439,0.164653,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
132262475,-0.010405,-0.0344443,-0.0185719,0.986326,0.000225687,0.00477418,0.164739,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
